Start,End,Duration,Type
5,173,168,3
188,287,99,3
306,378,72,1
478,519,41,1
1324,1440,116,3
1485,1675,190,3
1767,1881,114,3
1962,2123,161,3
2197,2362,165,3
3124,3269,145,3
3899,4115,216,3
4319,4434,115,3
4468,4693,225,3
5281,5346,65,3
5526,5578,52,3
6376,6496,120,3
7111,7213,102,3
8631,8720,89,3
9813,9886,73,3
10899,10971,72,3
11502,11641,139,3
11752,11844,92,3
12500,12571,71,3
14490,14568,78,3
15888,15996,108,3
16591,16689,98,3
18680,18792,112,3
20941,21040,99,3
21720,21809,89,3
22916,22985,69,3
23772,23863,91,3
25174,25290,116,3
25886,25964,78,3
26957,27054,97,3
28722,28783,61,3
