Start,End,Duration,Type
11875,12244,369,1
12352,12479,127,1
13087,13146,59,3
13486,13584,98,3
14217,14287,70,4
15239,15320,81,4
15698,15813,115,4
16269,16307,38,3
16401,16462,61,3
16999,17029,30,4
18140,18229,89,4
18456,18500,44,3
18704,18758,54,3
19914,19952,38,4
20210,20299,89,3
20578,20604,26,4
21352,21429,77,3
22756,22825,69,3
23567,23595,28,3
23636,23710,74,3
23865,23906,41,3
24067,24172,105,3
24575,24613,38,3
24807,24851,44,3
25047,25111,64,3
25909,25937,28,3
26262,26287,25,3
26733,26791,58,3
26919,26942,23,3
27538,27602,64,3
27638,27662,24,3
28306,28375,69,3
28758,28768,10,3
