Start,End,Duration,Type
2,30,28,3
321,400,79,3
411,447,36,4
1043,1105,62,3
1547,1577,30,3
2347,2476,129,3
2930,3151,221,3
3627,3753,126,3
3828,4024,196,3
4212,4341,129,3
6411,6473,62,3
6561,6634,73,3
7042,7148,106,3
8632,8803,171,3
9646,9858,212,3
10088,10220,132,3
11712,11846,134,3
12342,12443,101,3
13342,13510,168,3
14609,14768,159,3
15667,15769,102,3
17226,17536,310,3
19935,20033,98,3
20411,20650,239,3
21022,21320,298,3
22719,22919,200,3
23961,24731,770,3
25144,25493,349,3
26692,26837,145,3
27340,27481,141,3
28555,28731,176,3
