Start,End,Duration,Type,Notes
4064,4067,3,1,
4085,4089,4,2,
4107,4111,4,2,
4127,4132,5,2,
4143,4149,6,3,
4161,4164,3,1,
4195,4198,3,2,
4212,4216,4,2,
4223,4229,6,3,
4243,4247,4,2,
4259,4263,4,2,
4276,4280,4,2,
4292,4296,4,2,
4307,4311,4,2,
4321,4326,5,2,
4338,4342,4,2,
4354,4358,4,2,
4365,4372,7,3,
4389,4393,4,2,
4407,4411,4,2,
4428,4432,4,2,
4445,4449,4,2,
4463,4463,0,2,3 calls
4494,4499,5,2,
4506,4510,4,2,
4516,4523,7,3,
4542,4548,6,2,3 calls
4560,4565,5,2,3 calls
4598,4602,4,2,
4624,4629,5,2,3 calls
13393,13396,3,1,
13414,13417,3,1,
13434,13436,2,1,
13454,13459,5,2,
13478,13482,4,2,
13502,13506,4,2,
13519,13524,5,2,
13541,13546,5,2,
13569,13573,4,2,
13588,13592,4,2,
13598,13603,5,3,
13624,13628,4,2,
13642,13647,5,2,
13670,13675,5,2,
13685,13689,4,2,
13700,13704,4,2,
13718,13721,3,2,
13733,13737,4,2,
13755,13760,5,2,
13770,13774,4,2,
13778,13784,6,3,
13799,13804,5,2,
13818,13822,4,2,
13832,13836,4,2,
13850,13856,6,2,3 calls
13875,13881,6,2,3 calls
13898,13902,4,2,
13927,13931,4,2,
13941,13945,4,2,
13961,13966,5,2,
13978,13983,5,2,3 calls
14010,14015,5,2,3 calls
14020,14025,5,3,
14042,14046,4,2,
14059,14065,6,2,3 calls
14088,14093,5,2,3 calls
14107,14112,5,2,3 calls
14129,14135,6,2,3 calls
14146,14150,4,2,
14155,14162,7,3,
14180,14184,4,2,
14201,14206,5,2,3 calls
14220,14225,5,2,3 calls
14245,14249,4,2,
14263,14268,5,2,3 calls
