Start,End,Duration,Type,Notes
2829,2834,5,1,
2891,2893,2,1,
2917,2921,4,1,
2951,2955,4,1,
3012,3016,4,1,
3051,3055,4,1,
3086,3089,3,1,
3502,3505,3,1,
3527,3531,4,1,
3549,3552,3,1,
3576,3580,4,1,
3600,3604,4,1,
3624,3628,4,1,
3649,3653,4,1,
3668,3674,6,2,
3696,3703,7,2,
3720,3726,6,2,
3750,3756,6,2,
3774,3780,6,2,
3792,3798,6,2,
3811,3817,6,2,
3832,3837,5,2,
3850,3855,5,2,
3871,3876,5,2,
3894,3898,4,2,
3919,3925,6,2,
10694,10695,1,1,
10727,10729,2,1,
10749,10754,5,1,
10817,10819,2,1,
10847,10851,4,1,
10881,10885,4,1,
10914,10917,3,1,
10942,10949,7,2,
10971,10977,6,2,
10995,11000,5,2,
11017,11022,5,2,
11041,11046,5,2,
11059,11064,5,2,
11079,11085,6,2,
11101,11105,4,2,
11120,11125,5,2,
11138,11144,6,2,3 calls
11160,11166,6,2,3 calls
11200,11207,7,2,3 calls
11230,11236,6,2,3 calls
11250,11256,6,2,3 calls
11271,11277,6,2,3 calls
11294,11301,7,2,3 calls
11314,11320,6,2,3 calls
11334,11341,7,2,4 calls
11365,11371,6,2,3 calls
11382,11389,7,2,4 calls
11405,11411,6,2,3 calls
11427,11432,5,2,3 calls
11445,11452,7,2,4 calls
11467,11474,7,2,4 calls
11488,11495,7,2,4 calls
11511,11518,7,2,4 calls
11532,11539,7,2,4 calls
11555,11562,7,2,4 calls
11576,11583,7,2,4 calls
11598,11602,4,2,
14373,14375,2,1,
14420,14422,2,1,
14436,14439,3,1,
14457,14459,2,1,
14473,14476,3,1,
14521,14524,3,1,
14540,14543,3,1,
14580,14585,5,2,
14605,14610,5,2,
14628,14631,3,2,
14647,14652,5,2,3 calls
14665,14670,5,2,
14682,14686,4,2,
14699,14703,4,2,
14720,14724,4,2,
14737,14741,4,2,
14770,14772,2,2,
14786,14791,5,2,
14807,14812,5,2,4 calls
14825,14830,5,2,3 calls
14843,14848,5,2,3 calls
14862,14867,5,2,3 calls
14879,14885,6,2,3 calls
14902,14906,4,2,4 calls
14922,14927,5,2,3 calls
14939,14944,5,2,3 calls
14956,14961,5,2,3 calls
14974,14980,6,2,3 calls
14992,14997,5,2,3 calls
15014,15019,5,2,4 calls
15036,15041,5,2,3 calls
15054,15059,5,2,3 calls
15071,15076,5,2,3 calls
15089,15093,4,2,3 calls
15106,15111,5,2,3 calls
15121,15126,5,2,3 calls
15139,15145,6,2,4 calls
15167,15173,6,2,5 calls
15186,15191,5,2,3 calls
15202,15206,4,2,3 calls
15218,15223,5,2,3 calls
15236,15241,5,2,4 calls
15251,15255,4,2,3 calls
15268,15273,5,2,4 calls
15284,15290,6,2,4 calls
15307,15312,5,2,5 calls
15327,15332,5,2,3 calls
15346,15352,6,2,4 calls
15364,15370,6,2,4 calls
15382,15388,6,2,4 calls
15401,15407,6,2,4 calls
15420,15426,6,2,4 calls
15438,15443,5,2,4 calls
15457,15461,4,2,3 calls
15474,15479,5,2,4 calls
15492,15496,4,2,3 calls
15513,15519,6,2,4 calls
15534,15539,5,2,4 calls
15555,15560,5,2,5 calls
15573,15577,4,2,3 calls
15590,15594,4,2,3 calls
15606,15612,6,2,4 calls
15626,15632,6,2,4 calls
15643,15647,4,2,3 calls
15658,15662,4,2,3 calls
15674,15680,6,2,4 calls
15697,15702,5,2,4 calls
15714,15719,5,2,4 calls
15731,15736,5,2,4 calls
15752,15757,5,2,4 calls
15770,15775,5,2,4 calls
15791,15795,4,2,3 calls
15809,15815,6,2,4 calls
15830,15835,5,2,3 calls
15854,15860,6,2,6 calls
16105,16108,3,1,
16201,16205,4,1,
16275,16279,4,1,
