Start,End,Duration,Type,Notes
5306,5307,1,1,
5321,5323,2,1,
5387,5388,1,1,
5409,5411,2,1,
5428,5432,4,,
5452,5455,3,2,3 calls
5476,5477,1,1,
5494,5498,4,2,3 calls
5511,5516,5,2,3 calls
5527,5532,5,2,3 calls
5547,5552,5,2,3 calls
5564,5568,4,2,3 calls
5587,5591,4,2,3 calls
5605,5610,5,2,3 calls
5624,5626,2,2,2 calls
5638,5639,1,1,
5654,5658,4,2,3 calls
5674,5677,3,2,3 calls
5694,5699,5,2,3 calls
5716,5722,6,2,4 calls
5738,5743,5,2,4 calls
5757,5762,5,2,4 calls
5774,5780,6,2,4 calls
5811,5816,5,2,4 calls
5828,5832,4,2,4 calls
5850,5855,5,2,5 calls
5868,5873,5,2,4 calls
5920,5926,6,2,4 calls
5937,5942,5,2,4 calls
5954,5959,5,2,4 calls
5970,5975,5,2,4 calls
5987,5992,5,2,4 calls
6007,6013,6,2,6 calls
6027,6032,5,2,3 calls
6043,6049,6,2,4 calls
6064,6068,4,2,3 calls
6079,6084,5,2,4 calls
6103,6108,5,2,6 calls
6123,6128,5,2,4 calls
6140,6145,5,2,4 calls
6158,6163,5,2,4 calls
6176,6181,5,2,4 calls
6194,6199,5,2,4 calls
6212,6216,4,2,4 calls
6237,6241,4,2,4 calls
6261,6266,5,2,4 calls
6280,6284,4,2,4 calls
6306,6311,5,2,4 calls
6325,6330,5,2,4 calls
6345,6350,5,2,4 calls
6366,6371,5,2,4 calls
6384,6389,5,2,4 calls
6411,6416,5,2,5 calls
7358,7360,2,1,
7380,7383,3,1,
7399,7400,1,1,
7420,7424,4,2,
7441,7445,4,2,
7465,7470,5,2,
7485,7489,4,2,
7508,7512,4,2,
7531,7536,5,2,3 calls
7549,7554,5,2,3 calls
7567,7572,5,2,3 calls
7587,7592,5,2,3 calls
7606,7612,6,2,3 calls
7626,7633,7,2,4 calls
7646,7653,7,2,4 calls
7670,7676,6,2,4 calls
7688,7694,6,2,4 calls
7708,7713,5,2,3 calls
7725,7731,6,2,4 calls
7745,7751,6,2,4 calls
7765,7770,5,2,4 calls
7785,7792,7,2,4 calls
7808,7815,7,2,4 calls
7828,7834,6,2,4 calls
7848,7854,6,2,4 calls
7866,7872,6,2,4 calls
7886,7891,5,2,4 calls
7907,7913,6,2,4 calls
7926,7932,6,2,4 calls
7948,7954,6,2,4 calls
7969,7975,6,2,4 calls
7996,8002,6,2,4 calls
8017,8023,6,2,4 calls
8036,8041,5,2,4 calls
8059,8065,6,2,4 calls
8078,8084,6,2,4 calls
8098,8104,6,2,4 calls
8118,8125,7,2,5 calls
8139,8145,6,2,4 calls
8155,8161,6,2,4 calls
8176,8182,6,2,5 calls
8196,8201,5,2,4 calls
8219,8224,5,2,4 calls
8240,8245,5,2,4 calls
13403,13405,2,1,
13455,13458,3,2,
13477,13478,1,1,
13492,13493,1,1,
13509,13510,1,1,
13526,13531,5,2,3 calls
13544,13549,5,2,3 calls
13562,13567,5,2,3 calls
13580,13585,5,2,3 calls
13596,13600,4,2,3 calls
13612,13617,5,2,3 calls
13628,13632,4,2,3 calls
13643,13647,4,2,
13662,13667,5,2,3 calls
13679,13683,4,2,3 calls
13697,13701,4,2,3 calls
13724,13729,5,2,4 calls
13746,13751,5,2,3 calls
13764,13767,3,2,3 calls
13780,13784,4,2,3 calls
13795,13800,5,2,3 calls
13811,13817,6,2,4 calls
13829,13833,4,2,3 calls
13848,13853,5,2,4 calls
13895,13900,5,2,3 calls
13916,13920,4,2,3 calls
13939,13942,3,2,
13960,13964,4,2,3 calls
14017,14021,4,2,3 calls
14040,14043,3,2,3 calls
14065,14070,5,2,5 calls
14083,14088,5,2,3 calls
14100,14104,4,2,3 calls
14116,14122,6,2,4 calls
14135,14139,4,2,3 calls
14152,14154,2,2,
14165,14169,4,2,3 calls
14181,14185,4,2,3 calls
14203,14208,5,2,4 calls
14220,14224,4,2,3 calls
14240,14242,2,2,4 calls
14284,14288,4,2,3 calls
14301,14306,5,2,4 calls
14318,14322,4,2,3 calls
14334,14337,3,2,3 calls
14353,14356,3,2,3 calls
14373,14378,5,2,4 calls
14392,14397,5,2,4 calls
14417,14421,4,2,4 calls
