Start,End,Duration,Type,Notes
3474,3476,2,1,
3509,3514,5,1,
3528,3532,4,2,
3550,3555,5,2,
3571,3576,5,2,
3588,3593,5,2,
3603,3608,5,2,
3622,3627,5,2,
3645,3650,5,2,
3664,3669,5,2,
3685,3690,5,2,
3702,3707,5,2,
3731,3735,4,2,
3745,3749,4,2,
3753,3760,7,3,
3774,3779,5,2,
3795,3799,4,2,
3826,3831,5,2,
3843,3848,5,2,
3859,3864,5,2,
3874,3878,4,2,
3893,3898,5,2,3 calls
3909,3914,5,2,
3924,3928,4,2,
3937,3942,5,2,
3953,3957,4,2,
3964,3971,7,3,
3993,3999,6,2,3 calls
4017,4023,6,2,3 calls
4034,4040,6,2,3 calls
4051,4057,6,2,3 calls
4069,4073,4,2,
4085,4088,3,2,
4096,4102,6,3,
4123,4128,5,2,3 calls
4146,4151,5,2,3 calls
4166,4171,5,2,3 calls
4183,4188,5,2,3 calls
4201,4206,5,2,3 calls
4217,4222,5,2,3 calls
4233,4237,4,2,
4246,4250,4,2,
4259,4264,5,3,
7007,7009,2,1,
7030,7033,3,1,
7050,7054,4,1,
7078,7080,2,1,
7099,7102,3,1,
7118,7123,5,2,
7139,7144,5,2,
7161,7165,4,2,
7182,7187,5,2,
7201,7206,5,2,
7220,7225,5,2,
7238,7242,4,2,
7254,7258,4,2,
7272,7277,5,2,
7283,7289,6,3,
7310,7315,5,2,
7327,7331,4,2,
7344,7349,5,2,
7364,7368,4,2,
7388,7393,5,2,
7406,7410,4,2,
7436,7440,4,2,
7454,7458,4,2,
7476,7482,6,2,3 calls
7495,7499,4,2,
7514,7518,4,2,
7544,7548,4,2,
7564,7568,4,2,
7579,7584,5,2,
7596,7600,4,2,
7610,7615,5,2,
7626,7630,4,2,
7639,7644,5,2,
7650,7657,7,3,
7683,7687,4,2,
7736,7741,5,2,
16784,16786,2,1,
16811,16813,2,1,
16832,16835,3,1,
16853,16855,2,1,
16876,16877,1,1,
16898,16901,3,1,
16913,16915,2,1,
16931,16934,3,1,
16953,16956,3,2,
16976,16979,3,2,
16998,17002,4,2,
17017,17022,5,2,
17035,17039,4,2,
17046,17053,7,3,
17069,17073,4,2,
17087,17091,4,2,
17103,17107,4,2,
17119,17124,5,2,
17135,17139,4,2,
17150,17154,4,2,
17161,17168,7,3,
17189,17193,4,2,
17208,17213,5,2,3 calls
17237,17242,5,2,3 calls
