Start,End,Duration,Type
290,630,340,4
1550,1760,210,4
2513,2558,45,3
3546,3561,15,3
3735,3808,73,4
4199,4304,105,4
4716,4739,23,3
5618,5657,39,3
5679,5715,36,3
5860,5877,17,3
6857,6902,45,3
7459,7523,64,3
8746,8763,17,3
9842,9859,17,3
10496,10522,26,3
10801,10907,106,3
11901,11966,65,1
12424,12448,24,3
12491,12500,9,3
12555,12620,65,4
12944,12947,3,3
13278,13421,143,3
14253,14360,107,3
14885,14905,20,3
15128,15150,22,3
15506,15522,16,3
15636,15670,34,3
16176,16218,42,3
16462,16484,22,3
17619,17670,51,3
20137,20201,64,3
20372,20383,11,3
20852,20886,34,3
21834,21857,23,3
21946,22060,114,3
22649,22708,59,3
23102,23155,53,3
23348,23420,72,3
23474,23733,259,3
24836,24895,59,3
25673,25693,20,3
26095,26389,294,3
27074,27152,78,3
27216,27261,45,3
27478,27509,31,3
28032,28110,78,4
