Start,End,Duration,Type
4,80,76,3
156,172,16,3
345,404,59,3
554,619,65,3
759,815,56,3
1292,1352,60,3
1531,1601,70,3
1705,1740,35,3
1935,2001,66,3
2707,2793,86,3
2888,3073,185,3
3155,3271,116,3
3647,3730,83,3
4012,4127,115,3
4415,4493,78,3
4950,5048,98,3
5507,5600,93,3
6016,6057,41,3
6753,6816,63,3
7006,7053,47,3
7344,7369,25,3
8043,8144,101,3
8786,8899,113,3
9225,9340,115,3
9958,10061,103,3
11186,11273,87,3
12022,12085,63,3
12185,12285,100,3
12881,12919,38,3
13053,13147,94,3
13497,13556,59,3
13908,13942,34,3
14077,14182,105,3
14659,14724,65,3
15460,15539,79,3
16117,16210,93,3
16275,16312,37,4
16805,16851,46,3
17513,17559,46,3
17852,17928,76,3
18764,18823,59,3
19320,19558,238,3
19597,19650,53,3
19683,19733,50,3
20253,20317,64,3
20999,21079,80,4
21938,22006,68,3
23561,23622,61,3
23905,24039,134,3
24342,24440,98,3
25852,25900,48,3
26241,26317,76,3
26760,26852,92,3
27415,27658,243,3
