Start,End,Duration,Type
17,63,46,1
132,155,23,1
589,638,49,3
750,793,43,1
802,825,23,3
978,1032,54,1
1389,1567,178,3
1956,2051,95,3
3117,3154,37,3
5808,5845,37,3
6263,6300,37,3
7956,8016,60,3
10743,10816,73,3
11930,12119,189,3
12343,12406,63,3
12433,12476,43,3
13166,13312,146,3
13537,13656,119,3
15049,15164,115,3
15795,15860,65,3
15948,16028,80,3
16321,16393,72,3
16747,16836,89,3
18187,18328,141,3
18956,19126,170,3
19772,19824,52,3
19958,19979,21,3
20984,21056,72,3
21433,21516,83,3
22043,22101,58,3
22982,23013,31,3
24276,24345,69,3
24411,24469,58,3
24719,24811,92,3
25427,25485,58,3
26806,26864,58,3
27244,27327,83,3
27985,28043,58,3
