Start,End,Duration,Type
33,118,85,5
288,310,22,6
364,377,13,6
619,723,104,6
728,794,66,5
892,1040,148,5
1255,1317,62,5
1371,1420,49,6
1715,2363,648,6
2479,2632,153,6
2729,2846,117,6
2980,3234,254,5
3247,3485,238,5
3807,4460,653,6
4635,5382,747,5
5391,6425,1034,5
7765,8069,304,6
8849,8970,121,5
9565,9663,98,6
9730,9746,16,6
9776,9795,19,6
9805,9814,9,6
9823,9832,9,6
9839,9850,11,6
9859,9868,9,6
9877,9891,14,6
9899,9907,8,6
9916,9925,9,6
9976,9988,12,6
10019,10029,10,6
10116,10128,12,6
10202,10209,7,6
10224,10239,15,6
10268,10278,10,6
11530,11549,19,5
11696,11846,150,5
12292,12455,163,5
13139,13185,46,6
13317,13375,58,6
13520,13679,159,5
14134,14349,215,5
14911,14958,47,5
16479,16575,96,5
17511,17710,199,6
25962,26091,129,5
26380,26414,34,6
27084,27132,48,6
27973,28040,67,6
