Start,End,Duration,Type
4,234,230,3
457,1105,648,3
1136,1592,456,3
1766,1932,166,3
2006,2329,323,3
3449,3688,239,3
4190,4234,44,1
5196,5277,81,3
5509,5684,175,3
6695,6938,243,3
6965,7127,162,3
8498,8646,148,3
9052,9170,118,3
10083,10231,148,3
10878,10948,70,3
11752,11894,142,3
13160,13252,92,3
14042,14112,70,3
15660,15736,76,3
16418,16476,58,3
17715,17807,92,3
18636,18698,62,3
19251,19310,59,3
20377,20460,83,3
21395,21473,78,3
22971,23050,79,3
24268,24350,82,3
25224,25302,78,3
26555,26670,115,3
27247,27311,64,3
28057,28141,84,3
