Start,End,Duration,Type
58,792,734,1
1482,1549,67,1
1558,1714,156,3
1860,1949,89,3
2102,3015,913,3
4353,4967,614,3
5682,5762,80,3
6104,6157,53,3
6518,6737,219,3
7701,7867,166,3
8310,8395,85,3
8507,8619,112,3
8766,8784,18,3
9159,9401,242,3
9880,10091,211,3
10817,10874,57,3
12101,12285,184,3
12393,12496,103,3
13597,13911,314,3
14685,14765,80,3
15499,15597,98,3
15973,16013,40,3
16080,16123,43,3
16306,16489,183,3
16815,16909,94,3
17007,17266,259,3
17911,18319,408,3
19051,19517,466,3
21313,21595,282,3
22524,22932,408,3
23926,24119,193,3
24491,24621,130,3
25117,25162,45,3
27293,27504,211,3
