Start,End,Duration,Type,Notes
2879,2882,3,1,
3003,3006,3,2,
3020,3022,2,1,
3037,3039,2,1,
3095,3097,2,1,
3106,3110,4,2,
3123,3127,4,2,
3139,3143,4,2,
3155,3159,4,2,
3176,3179,3,2,
3236,3238,2,1,
3327,3331,4,2,
3349,3353,4,2,
3371,3373,2,1,
3391,3394,3,2,
3416,3419,3,2,
3435,3440,5,2,3 Calls
3455,3459,4,2,
3474,3476,2,2,
3493,3497,4,2,
3515,3516,1,1,
3536,3538,2,1,
3568,3572,4,2,
6330,6331,1,1,
6347,6351,4,2,
6399,6401,2,1,
6420,6424,4,2,
6436,6440,4,2,
6480,6484,4,2,
6495,6499,4,2,
6512,6514,2,1,
6538,6544,6,2,4 Calls
6560,6563,3,2,
6636,6640,4,2,
6652,6654,2,1,
6666,6669,3,2,
6699,6700,1,1,
6717,6721,4,2,
6738,6743,5,2,3 Calls
6765,6768,3,2,
12659,12664,5,2,
12678,12682,4,2,
12694,12696,2,1,
12704,12708,4,2,3 Calls
12726,12731,5,2,
12744,12748,4,2,
12768,12771,3,2,
12786,12791,5,2,
12808,12812,4,2,
12827,12831,4,2,
12849,12853,4,2,
12865,12869,4,2,
12882,12886,4,2,
12902,12906,4,2,
12917,12918,1,1,
12932,12935,3,2,
12948,12951,3,2,
12959,12965,6,3,
12979,12981,2,1,
13012,13018,6,2,3 Calls
13032,13037,5,2,3 Calls
13048,13052,4,2,
13066,13071,5,2,3 Calls
13085,13088,3,2,
13100,13104,4,2,
13115,13118,3,2,
13129,13133,4,2,
13140,13141,1,1,
13164,13170,6,2,3 Calls
13187,13192,5,2,3 Calls
13204,13208,4,2,
13221,13224,3,2,
13234,13238,4,2,
13248,13252,4,2,
13260,13264,4,3,
