Start,End,Duration,Type,Notes
4809,4812,3,1,
4826,4830,4,1,
4845,4849,4,1,
4874,4879,5,1,
4944,4948,4,1,
4978,4981,3,1,
5001,5004,3,1,
5026,5032,6,2,
5050,5055,5,2,
5101,5103,2,1,
5116,5121,5,2,
5132,5137,5,2,
5157,5162,5,2,
5172,5178,6,2,
5190,5196,6,2,
5211,5217,6,2,
5228,5234,6,2,
5246,5251,5,2,
5261,5267,6,2,
5281,5286,5,2,
5296,5302,6,2,
5313,5321,8,2,3 calls
5330,5336,6,2,
5347,5352,5,2,
5361,5369,8,2,3 calls
5384,5391,7,2,3 calls
5402,5409,7,2,3 calls
5425,5432,7,2,4 calls
5450,5457,7,2,3 calls
5467,5474,7,2,3 calls
5486,5492,6,2,3 calls
5502,5508,6,2,3 calls
5522,5528,6,2,3 calls
5538,5544,6,2,3 calls
5562,5570,8,2,5 calls
5580,5586,6,2,3 calls
5597,5602,5,2,3 calls
5613,5618,5,2,3 calls
5629,5634,5,2,3 calls
5648,5655,7,2,4 calls
5669,5676,7,2,4 calls
5691,5698,7,2,4 calls
5712,5720,8,2,4 calls
5732,5739,7,2,4 calls
5748,5756,8,2,4 calls
5766,5774,8,2,4 calls
5785,5792,7,2,4 calls
5803,5809,6,2,4 calls
5825,5832,7,2,5 calls
5843,5850,7,2,4 calls
5860,5867,7,2,4 calls
5878,5884,6,2,4 calls
5896,5902,6,2,4 calls
5912,5918,6,2,4 calls
5928,5935,7,2,4 calls
5945,5951,6,2,4 calls
5962,5968,6,2,4 calls
5982,5989,7,2,6 calls
6003,6008,5,2,3 calls
6018,6025,7,2,4 calls
6039,6044,5,2,3 calls
6054,6060,6,2,4 calls
6078,6084,6,3,
6098,6104,6,2,4 calls
6116,6121,5,2,4 calls
6133,6139,6,2,4 calls
6151,6157,6,2,4 calls
6169,6175,6,2,4 calls
6186,6192,6,2,4 calls
6211,6217,6,2,6 calls
6235,6242,7,2,4 calls
6254,6260,6,2,4 calls
6280,6287,7,2,4 calls
6300,6306,6,2,4 calls
6320,6326,6,2,4 calls
6341,6347,6,2,4 calls
6359,6365,6,2,4 calls
6386,6392,6,2,6 calls
7400,7403,3,1,
7421,7424,3,1,
7465,7469,4,2,
7487,7492,5,2,
7510,7517,7,2,3 calls
7528,7535,7,2,3 calls
7546,7553,7,2,3 calls
7567,7572,5,2,3 calls
7587,7592,5,2,3 calls
7606,7614,8,2,4 calls
7627,7633,6,2,4 calls
7650,7657,7,2,3 calls
7668,7674,6,2,4 calls
7688,7694,6,2,3 calls
7705,7712,7,2,4 calls
7725,7731,6,2,4 calls
7744,7751,7,2,4 calls
7766,7772,6,2,4 calls
7789,7796,7,2,4 calls
7808,7814,6,2,4 calls
7829,7834,5,2,4 calls
7847,7853,6,2,4 calls
7866,7872,6,2,4 calls
7887,7893,6,2,4 calls
7906,7913,7,2,4 calls
7928,7934,6,2,4 calls
7949,7955,6,2,4 calls
7976,7982,6,2,4 calls
7997,8003,6,2,4 calls
8016,8022,6,2,4 calls
8040,8045,5,2,4 calls
8059,8064,5,2,4 calls
8079,8084,5,2,4 calls
8098,8105,7,2,5 calls
8120,8125,5,2,4 calls
8136,8141,5,2,4 calls
8155,8163,8,2,5 calls
8176,8182,6,2,4 calls
8199,8205,6,2,4 calls
8219,8225,6,2,4 calls
13001,13004,3,1,
13019,13022,3,1,
13043,13047,4,1,
13070,13073,3,1,
13099,13101,2,1,
13115,13117,2,1,
13129,13131,2,1,
13178,13181,3,1,
13196,13199,3,1,
13214,13217,3,1,
13239,13241,2,1,
13263,13267,4,1,
13312,13315,3,1,
13332,13335,3,1,
13347,13350,3,1,
13361,13366,5,2,
13378,13382,4,2,
13395,13400,5,2,
13412,13416,4,2,
13430,13434,4,2,
13451,13455,4,2,
13467,13471,4,2,
13484,13489,5,2,3 calls
13501,13507,6,2,3 calls
13519,13525,6,2,3 calls
13536,13542,6,2,3 calls
13555,13560,5,2,3 calls
13570,13576,6,2,3 calls
13587,13592,5,2,3 calls
13603,13608,5,2,3 calls
13619,13624,5,2,3 calls
13637,13642,5,2,3 calls
13653,13659,6,2,3 calls
13672,13677,5,2,3 calls
13699,13705,6,2,5 calls
13720,13726,6,2,3 calls
13738,13744,6,2,3 calls
13755,13759,4,2,3 calls
13770,13775,5,2,3 calls
13786,13792,6,2,3 calls
13804,13809,5,2,3 calls
13823,13829,6,2,4 calls
13869,13875,6,2,3 calls
13891,13896,5,2,3 calls
13913,13918,5,2,3 calls
13935,13940,5,2,3 calls
13966,13971,5,2,3 calls
13992,13997,5,2,3 calls
14014,14019,5,2,3 calls
14040,14046,6,2,5 calls
14058,14064,6,2,3 calls
14074,14079,5,2,3 calls
14091,14098,7,2,4 calls
14109,14115,6,2,3 calls
14126,14130,4,2,
14139,14144,5,2,3 calls
14156,14161,5,2,3 calls
14178,14184,6,2,4 calls
14194,14199,5,2,3 calls
14213,14219,6,2,4 calls
14240,14245,5,2,6 calls
14259,14264,5,2,3 calls
14275,14282,7,2,4 calls
14293,14298,5,2,3 calls
14308,14314,6,2,4 calls
14327,14333,6,2,4 calls
14348,14354,6,2,4 calls
14366,14372,6,2,4 calls
14391,14397,6,2,6 calls
