Start,End,Duration,Type,Notes
9680,9682,2,1,
9704,9707,3,1,
9749,9752,3,1,
9769,9773,4,1,
9797,9801,4,1,
9816,9821,5,2,
9833,9838,5,2,
9851,9857,6,2,
9870,9875,5,2,
9893,9898,5,2,
9909,9915,6,2,3 calls
9928,9933,5,2,3 calls
9944,9950,6,2,3 calls
9961,9963,2,1,
9967,9974,7,3,
9991,9997,6,2,3 calls
10011,10017,6,2,3 calls
10036,10043,7,2,4 calls
10056,10063,7,2,4 calls
10078,10085,7,2,4 calls
10099,10102,3,1,
10108,10114,6,3,
10130,10137,7,2,4 calls
10155,10162,7,2,4 calls
10176,10182,6,2,4 calls
10195,10201,6,2,4 calls
10217,10223,6,2,4 calls
10243,10249,6,2,4 calls
10261,10267,6,2,4 calls
10281,10287,6,2,4 calls
10301,10307,6,2,4 calls
10328,10333,5,3,
