Start,End,Duration
3676,3680,4
3717,3720,3
3761,3764,3
3791,3795,4
14759,14762,3
14785,14789,4
14820,14823,3
14843,14848,5
14869,14874,5
14896,14901,5
14924,14930,6
14949,14955,6
19557,19560,3
19580,19585,5
19605,19609,4
19633,19637,4
19662,19666,4
19680,19687,7
19702,19708,6
19723,19729,6
19746,19752,6
19766,19772,6
19786,19791,5
19807,19812,5
19825,19830,5
19844,19849,5
19866,19872,6
19887,19894,7
19910,19916,6
19930,19936,6
19951,19957,6
19972,19977,5
19990,19996,6
20013,20020,7
20037,20043,6
20059,20064,5
20077,20083,6
20096,20103,7
20117,20124,7
20138,20145,7
20159,20166,7
20178,20185,7
20202,20208,6
20223,20230,7
20248,20257,9
20533,20537,4
20558,20562,4
20573,20577,4
20589,20594,5
20606,20612,6
20745,20750,5
20762,20766,4
20785,20791,6
20817,20823,6
20834,20838,4
20851,20855,4
