Start,End,Duration,Type,Notes
2788,2790,2,1,
2839,2843,4,3,
2922,2928,6,2,3 calls
2940,2945,5,2,3 calls
2956,2961,5,2,3 calls
2971,2975,4,2,
2977,2982,5,3,
2993,2997,4,2,
3012,3017,5,2,3 calls
3030,3035,5,2,3 calls
3045,3051,6,2,4 calls
3063,3069,6,2,4 calls
3081,3087,6,2,4 calls
3099,3101,2,1,
3124,3131,7,2,4 calls
3147,3153,6,2,4 calls
3163,3170,7,2,4 calls
3181,3185,4,2,
3189,3194,5,3,
3209,3215,6,2,4 calls
3227,3234,7,2,4 calls
3248,3254,6,2,4 calls
3265,3271,6,2,4 calls
3282,3289,7,2,5 calls
3300,3306,6,2,5 calls
3318,3323,5,2,
3325,3332,7,2,3 calls
3348,3354,6,2,4 calls
3366,3373,7,2,5 calls
3386,3391,5,2,5 calls
3404,3411,7,2,5 calls
3425,3430,5,2,4 calls
4527,4528,1,1,
4541,4545,4,2,
4593,4598,5,2,
4608,4611,3,2,
4669,4673,4,2,
4727,4731,4,2,
4778,4782,4,2,
4793,4798,5,2,3 calls
4809,4813,4,2,3 calls
4862,4866,4,2,
4878,4879,1,1,
4980,4985,5,2,3 calls
5002,5007,5,2,3 calls
5022,5025,3,2,
5733,5735,2,1,
5736,5743,7,3,
5768,5770,2,1,
5784,5788,4,2,
5803,5807,4,2,
5821,5825,4,2,
5828,5833,5,3,
5843,5848,5,2,3 calls
5865,5870,5,2,3 calls
5880,5885,5,2,3 calls
5897,5899,2,1,
5907,5913,6,2,3 calls
5922,5929,7,2,4 calls
5941,5944,3,2,
5946,5951,5,3,
5964,5971,7,2,4 calls
5985,5991,6,2,4 calls
6005,6012,7,2,4 calls
6025,6031,6,2,4 calls
6042,6045,3,2,
6048,6054,6,3,
6072,6078,6,2,4 calls
6090,6095,5,2,4 calls
6109,6115,6,2,4 calls
6126,6132,6,2,4 calls
6142,6148,6,2,4 calls
6159,6166,7,2,5 calls
6176,6178,2,1,
6181,6187,6,3,
6203,6210,7,2,5 calls
6224,6231,7,2,5 calls
6242,6249,7,2,5 calls
6260,6267,7,2,5 calls
6278,6285,7,2,5 calls
6295,6302,7,2,5 calls
6312,6319,7,2,5 calls
6330,6337,7,2,5 calls
6351,6354,3,2,
6357,6363,6,3,
6377,6384,7,2,5 calls
6398,6404,6,2,5 calls
6417,6423,6,2,5 calls
6437,6443,6,2,5 calls
6454,6461,7,2,5 calls
6473,6478,5,2,4 calls
6489,6495,6,2,5 calls
6506,6513,7,2,5 calls
6523,6530,7,2,5 calls
6540,6543,3,2,
6546,6552,6,3,
6570,6577,7,2,6 calls
6591,6596,5,2,5 calls
6610,6616,6,2,5 calls
