Start,End,Duration,Type,Notes
5032,5034,2,1,
5053,5056,3,1,
5078,5082,4,1,
5097,5099,2,1,
5114,5117,3,1,
5192,5195,3,1,
5220,5222,2,1,
5245,5247,2,1,
5267,5270,3,1,
5287,5290,3,1,
5300,5303,3,1,
5314,5317,3,1,
5332,5337,5,2,
5357,5361,4,2,
5378,5382,4,2,
5397,5402,5,2,3 calls
5417,5421,4,2,
5438,5441,3,2,
5460,5464,4,2,
5480,5486,6,3,
5501,5505,4,2,
5518,5522,4,2,
5534,5539,5,2,3 calls
5553,5558,5,2,3 calls
5571,5577,6,2,3 calls
5587,5593,6,2,4 calls
5609,5614,5,2,3 calls
5628,5634,6,2,3 calls
5649,5654,5,2,3 calls
5671,5676,5,2,3 calls
5688,5693,5,2,3 calls
5710,5717,7,2,5 calls
5729,5735,6,2,3 calls
5752,5757,5,2,3 calls
5767,5772,5,2,3 calls
5786,5791,5,2,3 calls
5805,5810,5,2,3 calls
5825,5830,5,2,3 calls
5843,5848,5,2,3 calls
5867,5873,6,3,
5893,5898,5,2,3 calls
5912,5917,5,2,3 calls
5927,5932,5,2,3 calls
5945,5950,5,2,3 calls
5961,5965,4,2,3 calls
5977,5981,4,2,3 calls
5991,5996,5,2,3 calls
6016,6022,6,2,5 calls
6041,6046,5,2,3 calls
6061,6065,4,2,3 calls
6077,6081,4,2,3 calls
6093,6098,5,2,3 calls
6109,6114,5,2,3 calls
6128,6134,6,2,3 calls
6145,6149,4,2,3 calls
6167,6172,5,2,3 calls
6188,6192,4,2,3 calls
6215,6221,6,2,4 calls
6237,6242,5,2,3 calls
6257,6261,4,2,3 calls
6276,6281,5,2,4 calls
6314,6319,5,2,3 calls
6335,6341,6,2,4 calls
6355,6359,4,2,3 calls
6378,6381,3,2,
6398,6402,4,3,
