Start,End,Duration,Type,Notes
3616,3622,6,2,
3639,3643,4,2,
3664,3667,3,1,
3755,3758,3,1,
3784,3789,5,2,
3808,3813,5,2,
3829,3834,5,2,
3851,3856,5,2,
3884,3888,4,2,
3913,3918,5,2,
3949,3953,4,2,
3980,3985,5,2,
4016,4021,5,2,
6927,6930,3,1,
6932,6939,7,3,
6959,6963,4,2,
6986,6989,3,1,
6997,7002,5,2,
7017,7022,5,2,
7026,7032,6,3,
7061,7066,5,2,
7078,7083,5,2,
7102,7107,5,2,
7117,7121,4,2,
7132,7137,5,2,
7143,7149,6,3,
7176,7181,5,2,
7192,7197,5,2,
7209,7213,4,2,
7225,7229,4,2,
7242,7246,4,2,
7260,7264,4,2,
7276,7281,5,2,
7292,7296,4,2,
7307,7312,5,2,
7318,7324,6,3,
7344,7349,5,2,3 calls
7370,7376,6,2,3 calls
7388,7393,5,2,3 calls
7408,7413,5,2,3 calls
7425,7429,4,2,
7440,7445,5,2,
7455,7459,4,2,
7469,7473,4,2,
7483,7488,5,2,
7494,7500,6,3,
7530,7536,6,2,3 calls
12640,12642,2,1,
12658,12660,2,1,
12687,12688,1,1,
12710,12713,3,1,
12728,12734,6,2,
12746,12750,4,2,
12763,12767,4,2,
12786,12790,4,2,
12797,12804,7,3,
12818,12822,4,2,
12848,12853,5,2,
12867,12872,5,2,
12884,12888,4,2,
12896,12901,5,2,
12908,12915,7,3,
12931,12936,5,2,
12958,12963,5,2,
12979,12983,4,2,
13009,13014,5,2,
13032,13037,5,2,
13049,13055,6,2,3 calls
13069,13074,5,2,
13087,13091,4,2,
13100,13104,4,2,
13116,13120,4,2,
13128,13133,5,2,
13152,13158,6,2,3 calls
13178,13182,4,2,
13217,13221,4,2,
13234,13240,6,2,3 calls
13256,13262,6,2,3 calls
13275,13280,5,2,
13291,13295,4,2,
13304,13309,5,2,
13318,13322,4,2,
13332,13336,4,2,
13347,13351,4,2,
13358,13363,5,3,
13409,13413,4,2,
