,,nn_result,threshold_result,average_result,hmm_bino_result,hmm_gmm_result,hmm_bino_threshold_result,svm_result
crnn_proportion_075,confusion matrix,"[[796349.   1642.]
 [   852.   7557.]]","[[796284.   1646.]
 [   917.   7553.]]","[[796284.   1646.]
 [   917.   7553.]]","[[7.96421e+05 1.65600e+03]
 [7.80000e+02 7.54300e+03]]","[[7.90876e+05 6.64000e+02]
 [6.32500e+03 8.53500e+03]]","[[796387.   1658.]
 [   814.   7541.]]",
crnn_proportion_075,segment precision,0.8986799857295754,0.8917355371900827,0.8917355371900827,0.9062837919019584,0.5743606998654105,0.9025733093955716,
crnn_proportion_075,sgement recall,0.8215023372105663,0.8210675073377541,0.8210675073377541,0.8199804326557234,0.9278182411131645,0.8197630177193174,
crnn_proportion_075,sgement F-score,0.8583598364379827,0.8549436866828909,0.8549436866828909,0.8609747745691131,0.7095057982459786,0.8591773954654209,
crnn_proportion_075,number of label,1858,1858,1858,1858,1858,1858,
crnn_proportion_075,number of prediction,1850,1888,1888,1685,1936,1697,
crnn_proportion_075,number of matching event,1638.0,1639.0,1639.0,1598.0,1660.0,1601.0,
crnn_proportion_075,total matching iou,1389.9704906204904,1388.051443001443,1388.051443001443,1377.3861194361193,1150.6448462471735,1375.8694527694527,
crnn_proportion_075,encounter number error,8,30,30,173,78,161,
crnn_proportion_075,encounter error rate,0.004305705059203444,0.016146393972012917,0.016146393972012917,0.09311087190527449,0.04198062432723358,0.08665231431646932,
crnn_proportion_075,event precision,0.8854054054054054,0.868114406779661,0.868114406779661,0.9483679525222551,0.8574380165289256,0.943429581614614,
crnn_proportion_075,event recall,0.8815931108719053,0.8821313240043057,0.8821313240043057,0.860064585575888,0.8934337997847147,0.8616792249730894,
crnn_proportion_075,event F-score,0.883495145631068,0.8750667378537106,0.8750667378537106,0.9020604007902907,0.875065893516078,0.9007032348804501,
crnn_proportion_075,pred event,[0 1 1 ... 1 1 1],[0 1 1 ... 1 1 1],[0 1 1 ... 1 1 1],[1 1 0 ... 1 1 1],[0 1 1 ... 1 1 1],[1 0 0 ... 1 1 1],
crnn_proportion_075,label event,[0 0 1 ... 1 1 1],[0 0 1 ... 1 1 1],[0 0 1 ... 1 1 1],[0 0 1 ... 1 1 1],[0 0 1 ... 1 1 1],[0 0 0 ... 1 1 1],
crnn_proportion_050,confusion matrix,"[[795696.   1888.]
 [  1505.   7311.]]","[[795446.   1731.]
 [  1755.   7468.]]","[[795446.   1731.]
 [  1755.   7468.]]","[[795784.   1902.]
 [  1417.   7297.]]","[[786969.    796.]
 [ 10232.   8403.]]","[[795631.   1736.]
 [  1570.   7463.]]",
crnn_proportion_050,segment precision,0.8292876588021778,0.8097148433264665,0.8097148433264665,0.8373881110856094,0.45092567748859674,0.8261928484445921,
crnn_proportion_050,sgement recall,0.7947603000326122,0.8118273725404935,0.8118273725404935,0.7932383954777693,0.9134688553103598,0.8112838351994782,
crnn_proportion_050,sgement F-score,0.8116569525395504,0.8107697318423623,0.8107697318423623,0.8147155696979848,0.6037939211036861,0.8186704695041684,
crnn_proportion_050,number of label,1858,1858,1858,1858,1858,1858,
crnn_proportion_050,number of prediction,1935,2083,2083,1721,2127,1771,
crnn_proportion_050,number of matching event,1567.0,1589.0,1589.0,1527.0,1599.0,1553.0,
crnn_proportion_050,total matching iou,1311.5715922965921,1332.9807192807189,1332.9807192807189,1293.7557228031683,1096.9035196687541,1316.3398803123257,
crnn_proportion_050,encounter number error,77,225,225,137,269,87,
crnn_proportion_050,encounter error rate,0.041442411194833155,0.12109795479009688,0.12109795479009688,0.073735199138859,0.14477933261571582,0.04682454251883746,
crnn_proportion_050,event precision,0.8098191214470284,0.7628420547287565,0.7628420547287565,0.8872748402091807,0.7517630465444288,0.8769057029926595,
crnn_proportion_050,event recall,0.8433799784714747,0.8552206673842842,0.8552206673842842,0.8218514531754575,0.8606027987082885,0.8358449946178687,
crnn_proportion_050,event F-score,0.8262588979699447,0.8063943161634103,0.8063943161634103,0.8533109807208717,0.8025094102885821,0.855883163405897,
crnn_proportion_050,pred event,[0 0 1 ... 1 1 1],[0 0 1 ... 1 1 1],[0 0 1 ... 1 1 1],[0 1 0 ... 1 1 1],[1 0 0 ... 1 1 0],[0 1 0 ... 1 1 1],
crnn_proportion_050,label event,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 1 0 ... 1 1 1],[0 0 0 ... 1 1 1],
crnn_proportion_025,confusion matrix,"[[796074.   2836.]
 [  1127.   6363.]]","[[795993.   2700.]
 [  1208.   6499.]]","[[795993.   2700.]
 [  1208.   6499.]]","[[796272.   2782.]
 [   929.   6417.]]","[[789121.   1377.]
 [  8080.   7822.]]","[[796196.   2647.]
 [  1005.   6552.]]",
crnn_proportion_025,segment precision,0.8495327102803738,0.8432593745945245,0.8432593745945245,0.8735366185679281,0.49188781285372907,0.8670107185391028,
crnn_proportion_025,sgement recall,0.6917056201761062,0.706489835851723,0.706489835851723,0.6975758234590717,0.8503098162843787,0.7122513316664855,
crnn_proportion_025,sgement F-score,0.7625381988135898,0.7688394652785994,0.7688394652785994,0.7757026291931097,0.6232421019082905,0.7820482215325854,
crnn_proportion_025,number of label,1858,1858,1858,1858,1858,1858,
crnn_proportion_025,number of prediction,1882,1906,1906,1477,1802,1493,
crnn_proportion_025,number of matching event,1404.0,1425.0,1425.0,1333.0,1474.0,1349.0,
crnn_proportion_025,total matching iou,1101.9574675324675,1124.1146103896103,1124.1146103896103,1124.4395021645018,977.6972764743062,1142.5393578643575,
crnn_proportion_025,encounter number error,24,48,48,381,56,365,
crnn_proportion_025,encounter error rate,0.012917115177610334,0.02583423035522067,0.02583423035522067,0.20505920344456405,0.030139935414424113,0.19644779332615717,
crnn_proportion_025,event precision,0.7460148777895855,0.7476390346274921,0.7476390346274921,0.9025050778605281,0.8179800221975583,0.9035498995311454,
crnn_proportion_025,event recall,0.7556512378902045,0.7669537136706136,0.7669537136706136,0.7174381054897739,0.7933261571582346,0.7260495156081809,
crnn_proportion_025,event F-score,0.7508021390374332,0.757173219978746,0.757173219978746,0.799400299850075,0.805464480874317,0.8051327961802447,
crnn_proportion_025,pred event,[1 1 1 ... 1 1 1],[0 1 1 ... 1 1 1],[0 1 1 ... 1 1 1],[1 1 1 ... 1 1 1],[0 0 1 ... 1 1 1],[0 1 1 ... 1 1 1],
crnn_proportion_025,label event,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],
lenet_proportion_075,confusion matrix,"[[795783.   2965.]
 [  1418.   6234.]]","[[795248.   2754.]
 [  1953.   6445.]]","[[795248.   2754.]
 [  1953.   6445.]]","[[795926.   2622.]
 [  1275.   6577.]]","[[790337.   1637.]
 [  6864.   7562.]]","[[795546.   2460.]
 [  1655.   6739.]]",
lenet_proportion_075,segment precision,0.8146889702038683,0.7674446296737318,0.7674446296737318,0.8376209882832399,0.524192430334119,0.8028353585894686,
lenet_proportion_075,sgement recall,0.6776823567779107,0.7006196325687575,0.7006196325687575,0.7149690183715621,0.8220458745515817,0.7325796282204587,
lenet_proportion_075,sgement F-score,0.7398967420331137,0.7325112235040063,0.7325112235040063,0.7714503548178993,0.6401693121693122,0.7661001534701302,
lenet_proportion_075,number of label,1858,1858,1858,1858,1858,1858,
lenet_proportion_075,number of prediction,2787,3066,3066,1499,1870,1553,
lenet_proportion_075,number of matching event,1594.0,1624.0,1624.0,1420.0,1532.0,1436.0,
