crnn,lenet_hmm_bino,lenet_hmm_gmm,lenet,svm_hmm_bino,svm
0,1,1,1,0,0
0,0,1,1,0,0
0,0,0,0,0,1
0,0,1,1,0,1
0,0,0,1,0,0
1,1,1,1,0,0
1,1,1,1,0,1
1,0,0,1,0,0
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,1
1,1,1,1,0,0
1,1,1,1,0,1
1,1,1,1,0,0
1,1,1,1,0,1
1,1,1,1,0,0
1,1,1,1,0,1
1,1,1,1,0,1
1,1,1,1,0,0
1,1,1,1,0,0
0,0,1,0,0,1
1,0,1,1,0,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,0,0
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,1,0,0
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,1,1
1,1,1,1,0,0
1,1,1,1,0,1
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,0
1,0,0,0,0,0
1,1,1,1,0,0
1,0,1,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,1,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,1,1,0,0
0,0,0,1,0,0
0,0,1,1,0,0
0,0,0,0,0,0
0,1,1,1,0,0
0,0,0,0,0,0
0,0,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,0,1,0,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,1
1,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,0,0
1,0,1,1,0,0
1,0,0,0,0,0
1,1,1,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,0,0
0,0,0,1,0,0
1,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,0,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,1,1,0,0
0,0,1,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,0,0
1,0,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
1,1,1,1,0,0
1,0,1,1,0,0
1,0,0,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,0,0,0,0,0
1,0,1,1,0,0
1,0,1,1,0,0
1,0,0,1,0,0
1,0,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,1
1,1,1,1,0,0
1,0,0,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,0,1,1,0,0
1,0,0,1,0,0
1,1,1,1,0,0
1,0,0,0,0,0
1,0,1,1,0,0
1,0,0,1,0,0
0,0,0,1,0,0
0,0,0,0,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,0,1,1,0,0
1,1,1,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,1,0,0,0
1,0,0,0,0,0
1,1,1,1,0,0
1,0,1,1,0,0
1,0,0,0,0,0
