,,nn_result,threshold_result,average_result,hmm_bino_result,hmm_gmm_result,hmm_bino_threshold_result,svm_result
crnn2,confusion matrix,"[[796387.   2036.]
 [   814.   7163.]]","[[796039.   1796.]
 [  1162.   7403.]]","[[796039.   1796.]
 [  1162.   7403.]]","[[7.96499e+05 1.97400e+03]
 [7.02000e+02 7.22500e+03]]","[[793525.   1003.]
 [  3676.   8196.]]","[[796231.   1748.]
 [   970.   7451.]]",
crnn2,segment precision,0.897956625297731,0.8643315820198482,0.8643315820198482,0.9114419074050712,0.6903638814016172,0.8848117800736255,
crnn2,sgement recall,0.7786715947385585,0.8047613871072943,0.8047613871072943,0.7854114577671486,0.8909664093923253,0.8099793455810415,
crnn2,sgement F-score,0.834070796460177,0.833483449673497,0.833483449673497,0.8437463505780685,0.7779412462626358,0.8457434733257662,
crnn2,number of label,1858,1858,1858,1858,1858,1858,
crnn2,number of prediction,2070,2217,2217,1700,2021,1810,
crnn2,number of matching event,1647.0,1678.0,1678.0,1581.0,1667.0,1622.0,
crnn2,total matching iou,1305.4355339105336,1342.706168831168,1342.706168831168,1311.5379010695183,1276.8111573407373,1345.6550560550559,
crnn2,encounter number error,212,359,359,158,163,48,
crnn2,encounter error rate,0.11410118406889128,0.19321851453175456,0.19321851453175456,0.08503767491926803,0.08772874058127018,0.02583423035522067,
crnn2,event precision,0.7956521739130434,0.7568786648624267,0.7568786648624267,0.93,0.8248391885205344,0.8961325966850828,
crnn2,event recall,0.8864370290635092,0.9031216361679225,0.9031216361679225,0.8509149623250807,0.8972012917115177,0.8729817007534983,
crnn2,event F-score,0.8385947046843177,0.823558282208589,0.823558282208589,0.8887015177065767,0.8594998711007992,0.8844056706652127,
crnn2,threshold_set,,"[0.4, 0.4, 0.4, 0.3]",,,,,
crnn2,threshold_averagestep_set,,,"[(0.4, 1), (0.4, 1), (0.4, 1), (0.3, 1)]",,,,
crnn2,gmm_mix_set,,,,,"[128, 128, 128, 64]",,
crnn4,confusion matrix,"[[7.96536e+05 1.88400e+03]
 [6.65000e+02 7.31500e+03]]","[[796267.   1713.]
 [   934.   7486.]]","[[796267.   1713.]
 [   934.   7486.]]","[[7.96651e+05 1.88600e+03]
 [5.50000e+02 7.31300e+03]]","[[793516.    939.]
 [  3685.   8260.]]","[[796397.   1720.]
 [   804.   7479.]]",
crnn4,segment precision,0.9166666666666666,0.8890736342042755,0.8890736342042755,0.9300521429479842,0.6915027208036836,0.9029337196667874,
crnn4,sgement recall,0.7951951299054245,0.8137841069681487,0.8137841069681487,0.7949777149690184,0.8979236873573214,0.8130231546907273,
crnn4,sgement F-score,0.8516211653763316,0.8497644588228617,0.8497644588228617,0.8572265853944437,0.781309118426031,0.8556229264386226,
crnn4,number of label,1858,1858,1858,1858,1858,1858,
crnn4,number of prediction,1963,2027,2027,1688,1983,1746,
crnn4,number of matching event,1652.0,1666.0,1666.0,1593.0,1660.0,1609.0,
crnn4,total matching iou,1364.7704545454549,1381.0537878787877,1381.0537878787877,1352.3133227883225,1293.6366622575913,1366.1087717837715,
crnn4,encounter number error,105,169,169,170,125,112,
crnn4,encounter error rate,0.05651237890204521,0.09095801937567277,0.09095801937567277,0.09149623250807319,0.06727664155005382,0.060279870828848225,
crnn4,event precision,0.8415690269994905,0.8219042920572275,0.8219042920572275,0.9437203791469194,0.8371154815935451,0.9215349369988545,
crnn4,event recall,0.8891280947255114,0.8966630785791173,0.8966630785791173,0.8573735199138859,0.8934337997847147,0.8659849300322928,
crnn4,event F-score,0.8646951059931955,0.8576576576576577,0.8576576576576577,0.8984771573604061,0.8643582400416558,0.892896781354051,
crnn4,threshold_set,,"[0.4, 0.2, 0.4, 0.5]",,,,,
crnn4,threshold_averagestep_set,,,"[(0.4, 1), (0.2, 1), (0.4, 1), (0.5, 1)]",,,,
crnn4,gmm_mix_set,,,,,"[64, 128, 64, 128]",,
crnn6,confusion matrix,"[[7.9642e+05 1.6020e+03]
 [7.8100e+02 7.5970e+03]]","[[796201.   1468.]
 [  1000.   7731.]]","[[796201.   1468.]
 [  1000.   7731.]]","[[7.96506e+05 1.62300e+03]
 [6.95000e+02 7.57600e+03]]","[[7.92431e+05 7.56000e+02]
 [4.77000e+03 8.44300e+03]]","[[796315.   1479.]
 [   886.   7720.]]",
crnn6,segment precision,0.9067796610169492,0.8854655824075135,0.8854655824075135,0.9159714665699432,0.638991901914781,0.8970485707645829,
crnn6,sgement recall,0.825850635938689,0.8404174366778998,0.8404174366778998,0.8235677791064246,0.9178171540384824,0.8392216545276661,
crnn6,sgement F-score,0.8644251009842407,0.8623535973229225,0.8623535973229225,0.8673153978248426,0.7534356594681421,0.8671721426565572,
crnn6,number of label,1858,1858,1858,1858,1858,1858,
crnn6,number of prediction,1963,2036,2036,1736,2041,1790,
crnn6,number of matching event,1678.0,1688.0,1688.0,1616.0,1688.0,1637.0,
crnn6,total matching iou,1421.150649350649,1431.80303030303,1431.80303030303,1402.1421411921408,1293.8255008170288,1414.7885697635695,
crnn6,encounter number error,105,178,178,122,183,68,
crnn6,encounter error rate,0.05651237890204521,0.09580193756727665,0.09580193756727665,0.06566200215285253,0.0984930032292788,0.03659849300322928,
crnn6,event precision,0.8548140601120734,0.8290766208251473,0.8290766208251473,0.9308755760368663,0.8270455658990691,0.9145251396648044,
crnn6,event recall,0.9031216361679225,0.9085037674919269,0.9085037674919269,0.8697524219590959,0.9085037674919269,0.8810548977395048,
crnn6,event F-score,0.878304108872023,0.866974833076528,0.866974833076528,0.899276572064552,0.8658630418055911,0.8974780701754386,
crnn6,threshold_set,,"[0.4, 0.3, 0.5, 0.5]",,,,,
crnn6,threshold_averagestep_set,,,"[(0.4, 1), (0.3, 1), (0.5, 1), (0.5, 1)]",,,,
