sig_max_origin,sig_rms_origin,sig_max_neg,sig_rms_neg
-43.17985065978006,-57.78901689803795,-43.61881677171396,-55.957071856615826
-46.86195570810038,-62.55432734496415,-51.25750583818756,-62.67600032589225
-44.48755329615583,-61.73037603696458,-55.44305911544754,-65.85828013139208
-48.33919458233971,-63.791325331605464,-45.97557323586956,-60.35992749039635
-40.324815715882295,-60.659134431781055,-44.76103758390809,-59.076291960537944
-41.406835574163026,-60.14335653710631,-52.45213329792149,-63.203676288394426
-44.076584650210094,-60.13255361112995,-42.622954971328674,-57.94233987204814
-37.801935312146696,-54.22365958412815,-37.64649986369068,-52.59837840831221
-42.5915571830108,-60.76202700682484,-52.03284911614521,-64.04335268734376
-38.865033379981575,-57.918369455224735,-49.83912067657377,-62.01852489256757
-36.02529768130877,-57.36127428501969,-43.09376755981578,-56.49061918151286
-43.6934717998345,-60.26122598693046,-49.63840919571283,-62.43883109638426
-43.08055159698352,-60.83598962900473,-55.03376097887945,-66.21526304524447
-45.53482151090627,-61.44471047413389,-43.412853361720416,-58.85157392930701
-45.154018537551664,-61.7904059987989,-56.567021863741225,-66.12886273737536
-49.5458052647176,-62.324536415203376,-52.9457763378539,-63.26909256173259
-48.40337004283667,-63.301459635650836,-51.33118568870656,-61.55447767083852
-52.65847225590139,-65.15894846843435,-54.038046430128844,-65.16977361052744
-51.949090346421784,-65.32025488724575,-54.70314376520448,-66.73087609492121
-50.26250127509432,-65.7042459253074,-52.53634864310624,-65.45899678976446
-49.45310716012856,-65.03328432263334,-55.82580637190872,-66.35200542398391
-50.32589931584566,-64.34744819485951,-55.71709901450136,-66.54598104352627
-51.92979279458246,-66.0124638696775,-56.92175776817144,-67.2529157416707
-51.049692331873786,-65.55485176721572,-56.393258163636666,-67.77426106699035
-47.68266737025583,-64.69595965693011,-55.54530242728216,-66.90252901628757
-47.99255795549355,-63.03170575318666,-54.314140495190976,-65.53887524048953
-48.90843140289289,-64.47040646101195,-51.629274254929314,-65.24210732799715
-47.63943297706322,-64.0309094700414,-53.996168171549215,-66.40083709425376
-50.94829860042648,-64.13381574536388,-55.440555531320626,-66.39713529025387
-37.679801714094495,-54.65805075698085,-34.48192970789847,-52.66807855742067
-13.27199062201128,-33.636316291921496,-11.46172031450374,-24.094047518497558
-45.247115773125195,-58.888047938084966,-42.88796875579831,-57.83880907581072
-32.52951551965967,-56.603480464079716,-38.95602561117098,-55.569976119264254
-45.956275009212284,-61.571443748106745,-46.499049435019685,-61.43242588003596
-40.07892704660818,-59.611163578246995,-46.858926214659974,-58.838095407348305
-38.44483913945696,-57.23586093798059,-48.01032022414661,-61.681947694773534
-35.64955965959823,-57.5429400281626,-46.71676872452015,-59.050438822965454
-32.49467186564982,-53.32005254548473,-41.79500423020471,-56.59966501853227
-29.953175322310557,-51.85320654919886,-42.647508573490924,-55.625184449163186
-32.159506444602485,-51.11852631429085,-42.908552477882715,-55.1518653211872
-30.131063325695187,-48.42095471589795,-49.84630983869803,-60.16297503432199
-25.50500997408758,-44.69543621689744,-45.45609955021375,-63.30349312324156
-44.28828334471605,-63.98469082382241,-36.52141381098716,-60.43045321820847
-18.634817897236193,-35.842636572137806,-37.77159765089043,-52.94399281016194
-25.631306731413112,-41.91864308119543,-43.9626915425528,-56.694326976768316
-20.712838106853347,-39.668119435115685,-42.26204386098466,-56.2870388074058
-22.074727211621497,-41.92280666919642,-36.75771530181065,-60.29043870261287
-22.151419379353598,-40.986104974838476,-40.13446485555227,-52.91116429330585
-23.08378608211786,-40.825171879668005,-34.92640747212117,-51.5111457449115
-35.69477854813801,-52.56804791608551,-41.410668139566134,-54.84616496676313
-19.084393356304705,-35.640062942850605,-29.726391598691585,-43.241672437698625
-21.165102796619088,-38.57782516492392,-37.361422242346116,-52.550874775494584
-24.48337570215703,-41.924354570454945,-43.28740999486157,-56.166604692548326
-22.360953100281307,-38.326995244092025,-38.122542837586266,-54.13832775686348
-21.17321216244937,-38.45237323394955,-46.4424047271923,-59.62743334922787
-22.06282465630458,-39.85686250013745,-44.17626273093326,-61.41966361866285
-18.18122745129172,-36.77798219391845,-37.26473159513401,-53.636364020628235
-16.645501915855967,-34.68586574498297,-28.62141117915511,-47.2281912697536
-17.76289647611787,-35.98407970352236,-45.54696618373505,-60.503263457023415
-15.712704794440127,-32.01932789103262,-32.97654340505971,-52.7204532178397
-17.489127979085204,-35.51963394988682,-36.3154858040565,-48.144820126906524
-57.148179290505766,-67.56527691166477,-57.11413025642679,-67.260603919912
-36.52985255189411,-49.25539822670791,-33.549326074441176,-45.69077955954125
-54.45026149271914,-66.94316293281585,-55.46830706194291,-67.42202348108651
-54.71567213944641,-66.96565823040177,-55.10119061223924,-66.98041876474912
-32.55593479647203,-47.76853051689414,-35.95527444178784,-47.97484246454576
-31.365588023355425,-45.75334343862261,-44.16648221400537,-60.53799904792611
-56.206239424520035,-66.98255712777005,-56.22609080335217,-67.2899099242947
-54.83382631137803,-67.12197665136624,-56.77049446345408,-67.9082618629352
-49.10752358248358,-66.75730428284722,-55.852021279325115,-67.20586684243956
-53.982669028506514,-67.06675642085062,-56.84140300944415,-68.42749362045402
-53.55982223742047,-66.66896255077884,-57.45675526868674,-67.70327158562185
-54.381815567514465,-66.98789922789746,-56.17990839315408,-67.59230449399487
-53.46119587629359,-66.75279589473388,-56.00610050308465,-67.24567592918598
-49.59677167009463,-66.98427232017276,-56.995562163812295,-67.58489924808023
-29.439200337416857,-49.46020735187163,-28.568418108160834,-43.69681333054452
-55.30916670313328,-67.32088820957702,-55.983894729731546,-67.39319302522794
-55.670613894868964,-67.147924173393,-51.69323687126508,-67.88285357154923
-29.50361182719196,-48.080002075432475,-27.8055706227143,-42.37471745277411
-53.38903291900511,-66.54170524287137,-56.694338010810306,-67.44196261212105
-52.03286939295185,-65.3090240405151,-56.75609812331424,-67.14204034169485
-54.80135561467934,-66.59866896211021,-56.40978623270225,-66.8085884795792
-45.89178611428249,-65.45622803413434,-53.402822192890575,-65.37347108125452
-53.219578573941206,-66.11009625771263,-55.52235123684958,-66.5650415688821
-54.38518476701729,-66.5866412417697,-55.976782774687464,-67.4490117089371
-53.5639308804064,-65.88517509756427,-50.02919033934987,-64.3352760075673
-52.09967020384216,-64.537643558155,-54.160025876046724,-66.34694871513975
-51.254097699280166,-66.06785750380381,-56.379564192801894,-66.83573730589542
-54.15049302142924,-66.7550895619153,-57.25032020998934,-67.57251305289367
-52.97163271167375,-66.01591994235955,-56.50861910791573,-67.11849880986794
-50.52206035592406,-65.90578106282342,-54.97394407529654,-66.63052689096989
-45.90679121338393,-61.493071789990765,-58.020601336813264,-67.50510382547574
-46.624376494648985,-60.16118351823589,-55.15819783843986,-67.4714252833281
-49.25995791308506,-64.1353273362171,-46.97936323886112,-56.78715889550624
-45.128271352684365,-61.704295651695844,-56.34251559522571,-67.28615768014609
-52.76020671086357,-65.96451846526523,-55.2808450315063,-66.93718775051028
-43.88771704211506,-59.02357907770675,-41.96321832718448,-53.19308806574979
-43.50684493409436,-64.27094235745768,-54.02941054790146,-66.01294223347433
-52.34447572875102,-65.7061197804301,-55.05811518313482,-66.75467096046015
-52.97471058308085,-65.69592269586562,-54.728931190602275,-66.76222546422034
-53.604043260273535,-66.37139611030108,-55.88443704656691,-66.90941939786433
-47.660851813268934,-65.51856674486528,-56.25871609658348,-67.11632960358091
-52.9390972079134,-65.30153762087602,-50.58983530523919,-64.0807895251975
-37.363918072648666,-54.0702879712848,-56.49887649188385,-67.0028800470257
-33.04739677497861,-49.12965878114299,-50.6604567793358,-65.22142608865718
-48.11834478009756,-64.9869574758775,-45.8853606606105,-58.28630898044244
-53.56417755269643,-66.02098510601317,-54.55539262931937,-66.33266240344328
-39.915816416141745,-58.7219297371708,-37.46243570313295,-50.76782596653503
-34.720567713408656,-52.45131345433617,-33.505429218332395,-46.181702904862185
-49.22699138822915,-66.08181939484456,-56.25031050982983,-67.07072080579822
