,,shift_step_-1.000_nn_result,shift_step_-1.000_threshold_result,shift_step_-1.000_average_result,shift_step_-1.000_hmm_bino_result,shift_step_-1.000_hmm_gmm_result,shift_step_-1.000_hmm_bino_threshold_result,shift_step_-0.500_nn_result,shift_step_-0.500_threshold_result,shift_step_-0.500_average_result,shift_step_-0.500_hmm_bino_result,shift_step_-0.500_hmm_gmm_result,shift_step_-0.500_hmm_bino_threshold_result,shift_step_0.500_nn_result,shift_step_0.500_threshold_result,shift_step_0.500_average_result,shift_step_0.500_hmm_bino_result,shift_step_0.500_hmm_gmm_result,shift_step_0.500_hmm_bino_threshold_result,shift_step_1.000_nn_result,shift_step_1.000_threshold_result,shift_step_1.000_average_result,shift_step_1.000_hmm_bino_result,shift_step_1.000_hmm_gmm_result,shift_step_1.000_hmm_bino_threshold_result,stretch_rate_0.810_nn_result,stretch_rate_0.810_threshold_result,stretch_rate_0.810_average_result,stretch_rate_0.810_hmm_bino_result,stretch_rate_0.810_hmm_gmm_result,stretch_rate_0.810_hmm_bino_threshold_result,stretch_rate_0.930_nn_result,stretch_rate_0.930_threshold_result,stretch_rate_0.930_average_result,stretch_rate_0.930_hmm_bino_result,stretch_rate_0.930_hmm_gmm_result,stretch_rate_0.930_hmm_bino_threshold_result,stretch_rate_1.070_nn_result,stretch_rate_1.070_threshold_result,stretch_rate_1.070_average_result,stretch_rate_1.070_hmm_bino_result,stretch_rate_1.070_hmm_gmm_result,stretch_rate_1.070_hmm_bino_threshold_result,stretch_rate_1.230_nn_result,stretch_rate_1.230_threshold_result,stretch_rate_1.230_average_result,stretch_rate_1.230_hmm_bino_result,stretch_rate_1.230_hmm_gmm_result,stretch_rate_1.230_hmm_bino_threshold_result,crop_rate_0.900_nn_result,crop_rate_0.900_threshold_result,crop_rate_0.900_average_result,crop_rate_0.900_hmm_bino_result,crop_rate_0.900_hmm_gmm_result,crop_rate_0.900_hmm_bino_threshold_result,crop_rate_0.800_nn_result,crop_rate_0.800_threshold_result,crop_rate_0.800_average_result,crop_rate_0.800_hmm_bino_result,crop_rate_0.800_hmm_gmm_result,crop_rate_0.800_hmm_bino_threshold_result,crop_rate_0.700_nn_result,crop_rate_0.700_threshold_result,crop_rate_0.700_average_result,crop_rate_0.700_hmm_bino_result,crop_rate_0.700_hmm_gmm_result,crop_rate_0.700_hmm_bino_threshold_result,crop_rate_0.600_nn_result,crop_rate_0.600_threshold_result,crop_rate_0.600_average_result,crop_rate_0.600_hmm_bino_result,crop_rate_0.600_hmm_gmm_result,crop_rate_0.600_hmm_bino_threshold_result,shift_step_-1.000_svm_result,shift_step_-0.500_svm_result,shift_step_0.500_svm_result,shift_step_1.000_svm_result,stretch_rate_0.810_svm_result,stretch_rate_0.930_svm_result,stretch_rate_1.070_svm_result,stretch_rate_1.230_svm_result,crop_rate_0.900_svm_result,crop_rate_0.800_svm_result,crop_rate_0.700_svm_result,crop_rate_0.600_svm_result
crnn_picth_shift,confusion matrix,"[[7.96674e+05 2.88600e+03]
 [5.27000e+02 6.31300e+03]]","[[7.96656e+05 2.86700e+03]
 [5.45000e+02 6.33200e+03]]","[[7.96656e+05 2.86700e+03]
 [5.45000e+02 6.33200e+03]]","[[7.96745e+05 2.90300e+03]
 [4.56000e+02 6.29600e+03]]","[[791345.   1608.]
 [  5856.   7591.]]","[[7.96726e+05 2.89500e+03]
 [4.75000e+02 6.30400e+03]]","[[7.96601e+05 2.18200e+03]
 [6.00000e+02 7.01700e+03]]","[[7.9659e+05 2.1410e+03]
 [6.1100e+02 7.0580e+03]]","[[7.9659e+05 2.1410e+03]
 [6.1100e+02 7.0580e+03]]","[[7.96648e+05 2.18700e+03]
 [5.53000e+02 7.01200e+03]]","[[790991.    969.]
 [  6210.   8230.]]","[[7.96635e+05 2.15000e+03]
 [5.66000e+02 7.04900e+03]]","[[7.96581e+05 2.45900e+03]
 [6.20000e+02 6.74000e+03]]","[[7.96588e+05 2.41700e+03]
 [6.13000e+02 6.78200e+03]]","[[7.96588e+05 2.41700e+03]
 [6.13000e+02 6.78200e+03]]","[[7.96651e+05 2.45800e+03]
 [5.50000e+02 6.74100e+03]]","[[791073.   1095.]
 [  6128.   8104.]]","[[7.96641e+05 2.42400e+03]
 [5.60000e+02 6.77500e+03]]","[[7.96581e+05 4.11900e+03]
 [6.20000e+02 5.08000e+03]]","[[7.96591e+05 4.06400e+03]
 [6.10000e+02 5.13500e+03]]","[[7.96591e+05 4.06400e+03]
 [6.10000e+02 5.13500e+03]]","[[7.96686e+05 4.06500e+03]
 [5.15000e+02 5.13400e+03]]","[[791410.   2033.]
 [  5791.   7166.]]","[[7.96675e+05 4.02800e+03]
 [5.26000e+02 5.17100e+03]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crnn_picth_shift,segment precision,0.922953216374269,0.9207503271775483,0.9207503271775483,0.9324644549763034,0.5645125306759872,0.9299306682401535,0.9212288302481292,0.9203285956448037,0.9203285956448037,0.9269001982815598,0.5699445983379502,0.9256730137885751,0.9157608695652174,0.91710615280595,0.91710615280595,0.9245645316143191,0.5694210230466554,0.923653715064758,0.8912280701754386,0.8938207136640557,0.8938207136640557,0.9088334218445743,0.5530601219418075,0.9076707038792347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crnn_picth_shift,sgement recall,0.6862702467659528,0.688335688661811,0.688335688661811,0.6844222198065008,0.8251983911294706,0.6852918795521252,0.762800304380911,0.7672573105772367,0.7672573105772367,0.7622567670398956,0.8946624633112295,0.7662789433634091,0.7326883356886618,0.7372540493531906,0.7372540493531906,0.7327970431568649,0.8809653223176432,0.7364930970757692,0.552233938471573,0.5582128492227416,0.5582128492227416,0.5581041417545385,0.7789977171431678,0.5621263180780519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crnn_picth_shift,sgement F-score,0.7872061849242471,0.7877581487932321,0.7877581487932321,0.7894175913735816,0.6704053696016956,0.7890849918638128,0.8345623215984777,0.8368508418306854,0.8368508418306854,0.8365545215938917,0.6963069503786116,0.8384679433805162,0.8140588199770518,0.8174038809208147,0.8174038809208147,0.8175864160097028,0.691733174000256,0.8195234063142616,0.6819249614068058,0.6872323340471093,0.6872323340471093,0.6915409482758621,0.646867665643618,0.694280343716434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crnn_picth_shift,number of label,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crnn_picth_shift,number of prediction,1580,1569,1569,1407,1723,1402,1727,1710,1710,1549,1848,1543,1732,1720,1720,1491,1824,1490,1578,1559,1559,1221,1664,1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crnn_picth_shift,number of matching event,1404.0,1408.0,1408.0,1359.0,1430.0,1360.0,1533.0,1528.0,1528.0,1493.0,1566.0,1489.0,1498.0,1510.0,1510.0,1432.0,1546.0,1439.0,1240.0,1255.0,1255.0,1153.0,1357.0,1158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crnn_picth_shift,total matching iou,1146.1922799422798,1145.0561688311686,1145.0561688311686,1134.3372238872234,967.1119218834358,1132.2903984903983,1282.0986291486288,1284.121248196248,1284.121248196248,1272.1958513708514,1077.549399054018,1273.6089466089463,1226.6736652236652,1228.8419191919188,1228.8419191919188,1222.638997113997,1052.3796729005307,1223.2001082251081,885.7050144300146,893.7776334776333,893.7776334776333,899.4953407703408,932.3832759931095,902.5830391830391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crnn_picth_shift,encounter number error,278,289,289,451,135,456,131,148,148,309,10,315,126,138,138,367,34,368,280,299,299,637,194,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crnn_picth_shift,encounter error rate,0.1496232508073197,0.15554359526372444,0.15554359526372444,0.24273412271259417,0.07265877287405813,0.24542518837459634,0.07050592034445641,0.07965554359526372,0.07965554359526372,0.16630785791173305,0.005382131324004306,0.16953713670613563,0.06781485468245425,0.07427341227125941,0.07427341227125941,0.197524219590958,0.01829924650161464,0.19806243272335844,0.15069967707212056,0.16092572658772875,0.16092572658772875,0.3428417653390743,0.10441334768568353,0.3433799784714747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
